"","player","GP","PVGS","GSpg","position","Z_val"
"5","James Harden",58,6.70336984676054,0.115575342185527,"PG",1.5081507512524
"15","Marcus Smart",61,3.37185041277864,0.0552762362750597,"PG",0.25669814221656
"18","Malcolm Brogdon",67,4.54263163504424,0.0678004721648394,"PG",0.696490628572625
"24","Russell Westbrook",73,5.18836110527916,0.0710734397983446,"PG",0.939052572535523
"25","Patrick Beverley",67,2.07201140459852,0.0309255433522167,"PG",-0.231573635976049
"32","Scotty Pippen Jr.",6,0.0229797323811823,0.00382995539686372,"PG",-1.0012722924022
"38","Stephen Curry",55,7.3053394191583,0.132824353075605,"PG",1.73427471866896
"39","Jordan Poole",81,5.84394819151037,0.072147508537165,"PG",1.18531743329116
"45","Ryan Rollins",12,-0.0409497864299276,-0.00341248220249397,"PG",-1.02528678929947
"59","Cade Cunningham",12,0.880887650354524,0.0734073041962104,"PG",-0.679007595006443
"61","Killian Hayes",75,3.25744523602964,0.0434326031470618,"PG",0.213722959340731
"64","Cory Joseph",62,1.96765060316935,0.0317363000511185,"PG",-0.27077574775047
"70","Monte Morris",62,3.50384653976138,0.0565136538671191,"PG",0.306281193064245
"72","Delon Wright",50,2.56362084893764,0.0512724169787528,"PG",-0.0469053685574445
"80","Tyrese Haliburton",56,6.6305779454181,0.118403177596752,"PG",1.480807187255
"83","T.J. McConnell",75,3.62785845835265,0.0483714461113687,"PG",0.352865054316733
"91","Kevin Porter Jr.",59,4.81667384949748,0.0816385398219912,"PG",0.799431899382974
"101","Trae Young",73,8.65933678565547,0.118621051858294,"PG",2.2428905531278
"103","Aaron Holiday",63,0.905693431013835,0.0143760862065688,"PG",-0.669689546728345
"110","CJ McCollum",75,6.32204524531371,0.0842939366041828,"PG",1.3649099036972
"111","Jose Alvarado",61,2.16590963071732,0.035506715257661,"PG",-0.196301688028936
"114","Devonte' Graham",72,2.30597083642582,0.0320273727281364,"PG",-0.143689069437931
"116","Dyson Daniels",59,1.09935539505198,0.0186331422890167,"PG",-0.596942328838976
"120","Kyrie Irving",60,7.26105543234135,0.121017590539022,"PG",1.71763987323619
"121","Ben Simmons",42,1.95718244269103,0.0465995819688342,"PG",-0.274708009591347
"123","Patty Mills",40,0.784538983156488,0.0196134745789122,"PG",-0.715200027117816
"132","Alex Caruso",66,2.16298245998497,0.0327724615149239,"PG",-0.197401251012936
"137","Goran Dragic",57,1.18240077170952,0.0207438731878864,"PG",-0.565747147377218
"142","Kyle Lowry",55,2.97546058734368,0.0540992834062488,"PG",0.107798190988318
"144","Gabe Vincent",68,2.16684633451973,0.031865387272349,"PG",-0.195949824430164
"152","Darius Garland",69,6.67487310257092,0.0967372913416076,"PG",1.49744622871492
"157","Raul Neto",48,0.680719026210909,0.0141816463793939,"PG",-0.754198975965082
"162","Fred VanVleet",69,6.23972747246331,0.0904308329342508,"PG",1.33398803947127
"165","Dalano Banton",31,0.47765383515784,0.0154081882308981,"PG",-0.830478423881731
"172","Jalen Brunson",68,7.21237789684191,0.10606438083591,"PG",1.69935463432062
"177","Derrick Rose",27,0.433963637319108,0.0160727273081151,"PG",-0.846890218307082
"182","Ja Morant",61,7.09036761551645,0.116235534680597,"PG",1.6535226684805
"184","Tyus Jones",80,4.45386573175093,0.0556733216468866,"PG",0.663146587371261
"192","Shai Gilgeous-Alexander",68,9.82804667065683,0.144530098097895,"PG",2.68190496195051
"193","Tre Mann",67,1.64945263156014,0.0246186959934349,"PG",-0.39030369577877
"205","D'Angelo Russell",70,5.63462721450586,0.0804946744929409,"PG",1.10668806072132
"207","Jordan McLaughlin",42,0.941243264960446,0.0224105539276297,"PG",-0.656335600180868
"218","Dennis Smith Jr.",54,2.30222960638412,0.0426338815997059,"PG",-0.145094425819448
"226","Theo Maledon",44,1.38025276960281,0.0313693811273367,"PG",-0.491425984354442
"231","Tre Jones",65,4.34277241471721,0.0668118833033417,"PG",0.62141547212391
"244","Jamal Murray",65,5.7590935220785,0.0886014388012077,"PG",1.15344260873927
"247","Bones Hyland",56,2.38880711308809,0.042657269876573,"PG",-0.112572434339121
"250","Ish Smith",43,0.280267396581786,0.00651784643213456,"PG",-0.904624704111906
"259","Mike Conley",66,4.21464016226923,0.0638581842768065,"PG",0.573283847858998
"260","Collin Sexton",48,2.6658461982721,0.055538462464002,"PG",-0.00850541842378932
"272","Spencer Dinwiddie",79,6.28422055927553,0.0795470956870321,"PG",1.35070143126699
"273","Luka Doncic",66,9.95964135315283,0.150903656865952,"PG",2.73133721411301
"282","Chris Paul",59,4.83825131875901,0.0820042596399833,"PG",0.807537264138857
"285","Cameron Payne",48,1.897448542903,0.0395301779771459,"PG",-0.297146463341645
"294","Damian Lillard",58,8.44455174133715,0.145595719678227,"PG",2.16220865724801
"303","De'Aaron Fox",73,8.04078266682481,0.110147707764723,"PG",2.01053676345914
"306","Davion Mitchell",80,1.75967894478987,0.0219959868098733,"PG",-0.348898262009207
"312","Jevon Carter",81,2.65467835982632,0.032773806911436,"PG",-0.012700507432638
"313","Jrue Holiday",67,6.24125796524394,0.0931531039588647,"PG",1.33456295407746
"315","George Hill",46,1.13118075446069,0.0245908859665367,"PG",-0.584987444632305
"324","Reggie Jackson",68,2.40599661883507,0.0353823032181628,"PG",-0.106115365052454
"325","John Wall",34,1.5143731783444,0.0445403875983648,"PG",-0.441044967893132
"335","Cole Anthony",60,3.50717515498047,0.0584529192496746,"PG",0.307531554733433
"341","Miles McBride",64,0.666077587381255,0.0104074623028321,"PG",-0.759698888898656
"343","Ryan Arcidiacono",20,-0.000320574152455531,-1.60287076227766e-05,"PG",-1.01002482408652
"348","Payton Pritchard",48,0.845546916403188,0.0176155607583997,"PG",-0.692282995190971
"350","Malachi Flynn",53,0.704763692055483,0.0132974281519902,"PG",-0.745166833004228
"360","Daishen Nix",57,0.591417863601935,0.0103757519930164,"PG",-0.78774408208003
"361","Trevor Hudgins",5,0.00186782243688576,0.000373564487377152,"PG",-1.00920277436548
"367","Kennedy Chandler",36,0.300908162040911,0.00835856005669198,"PG",-0.896871202954794
"373","McKinley Wright IV",27,0.489106058765252,0.0181150392135279,"PG",-0.826176508375379
"383","Vit Krejci",29,0.054827432461622,0.00189060111936628,"PG",-0.989309016141244
"391","Jason Preston",14,0.139729461220179,0.00998067580144139,"PG",-0.957416401522652
"408","Jordan Goodwin",62,2.10730477922317,0.033988786761664,"PG",-0.218316025858223
"409","Facundo Campazzo",8,0.0250454844774749,0.00313068555968436,"PG",-1.00049631288241
"421","Matthew Dellavedova",32,0.0881944549868247,0.00275607671833827,"PG",-0.976775021301234
"437","Jeff Dowtin Jr.",25,0.253883763815155,0.0101553505526062,"PG",-0.914535457062904
"453","LaMelo Ball",36,3.55131415663264,0.0986476154620179,"PG",0.324111937910674
"455","TyTy Washington Jr.",31,0.400933944450161,0.0129333530467794,"PG",-0.859297498569317
"463","Dennis Schroder",66,3.42106879276168,0.0518343756479042,"PG",0.275186544059278
"471","Devon Dotson",6,0.00679663043503136,0.00113277173917189,"PG",-1.00735131596911
"472","Saben Lee",25,0.653066945153546,0.0261226778061418,"PG",-0.764586209079057
"475","Markelle Fultz",60,4.15090298794959,0.0691817164658265,"PG",0.549341603283961
"484","Kemba Walker",9,0.284108930444806,0.0315676589383118,"PG",-0.903181669583415
"486","Kira Lewis Jr.",25,0.404926048645897,0.0161970419458359,"PG",-0.857797903771719
"495","Ricky Rubio",33,0.75663044277716,0.0229281952356715,"PG",-0.725683596661442
"503","Jamaree Bouyea",5,0.0438240126676476,0.00876480253352951,"PG",-0.993442342895705
"504","Quenton Jackson",9,0.213382781198665,0.0237091979109628,"PG",-0.929749254061033
"506","Carlik Jones",6,0.0577434328580993,0.00962390547634988,"PG",-0.988213649184384
"507","Kris Dunn",22,1.54333548185126,0.0701516128114207,"PG",-0.430165562563049
"512","Frank Jackson",1,-0.00705867492492922,-0.00705867492492922,"PG",-1.01255592557302
"513","Jared Butler",6,0.126671459665779,0.0211119099442966,"PG",-0.962321511769755
"516","Lindell Wigginton",7,0.143587750587,0.0205125357981428,"PG",-0.95596707295345
"527","Skylar Mays",5,0.453196554490652,0.0906393108981304,"PG",-0.839665561554913
"531","Michael Carter-Williams",4,0.0466870685695006,0.0116717671423752,"PG",-0.992366864019117
"538","Jacob Gilyard",1,0.038493760182755,0.038493760182755,"PG",-0.995444599977263
"4","Tyrese Maxey",60,4.95586246623406,0.0825977077705677,"SG",1.49506393416175
"7","De'Anthony Melton",77,3.61673797923356,0.0469706231069293,"SG",0.820785782294069
"10","Matisse Thybulle",71,1.39285638217584,0.0196176955236034,"SG",-0.298986716673051
"14","Derrick White",82,4.96180326320098,0.0605097958926948,"SG",1.49805525396686
"21","Lonnie Walker IV",56,2.28091976678041,0.0407307101210788,"SG",0.148172411193975
"26","Austin Reaves",64,3.9266729424576,0.0613542647259,"SG",0.976844741883391
"27","Kendrick Nunn",70,1.45505747854692,0.0207865354078131,"SG",-0.267667118896766
"33","Max Christie",41,0.398076473716242,0.00970918228576199,"SG",-0.799879923169234
"43","Donte DiVincenzo",71,3.34681609863704,0.0471382549103808,"SG",0.6848742755118
"44","Moses Moody",62,0.991270119084904,0.0159882277271759,"SG",-0.501194088669456
"49","Terrence Ross",63,1.83652147999059,0.0291511346030253,"SG",-0.0755917409954767
"50","Jalen Suggs",53,2.13307228233985,0.0402466468366009,"SG",0.0737280040200259
"55","R.J. Hampton",47,1.04740218882808,0.022285152953789,"SG",-0.4729303771069
"60","Jaden Ivey",73,4.22216998167933,0.0578379449545113,"SG",1.12563389436547
"69","Bradley Beal",50,4.88439754284492,0.0976879508568984,"SG",1.45907979905409
"74","Will Barton",56,1.34289922804981,0.0239803433580323,"SG",-0.324141224624826
"82","Bennedict Mathurin",78,4.56328357083923,0.0585036355235799,"SG",1.29739196667947
"87","Eric Gordon",69,3.29200542167921,0.0477102235025973,"SG",0.657275913805699
"90","Jalen Green",76,5.86006159345809,0.0771060735981328,"SG",1.95034775754295
"95","Garrison Mathews",54,0.777421778569001,0.0143966996031297,"SG",-0.608871354840587
"96","Josh Christopher",64,1.12340006089656,0.0175531259515087,"SG",-0.43466380426647
"100","Dejounte Murray",74,6.8361744478847,0.0923807357822257,"SG",2.44184169846199
"124","Edmond Sumner",53,1.35328651819383,0.0255337078904496,"SG",-0.318910999302824
"126","Cam Thomas",57,2.02512082120168,0.0355284354596786,"SG",0.0193721077502945
"133","Ayo Dosunmu",79,2.76649369549923,0.035018907537965,"SG",0.392669389951358
"135","Coby White",73,2.89395687380264,0.0396432448466115,"SG",0.456849857960057
"141","Tyler Herro",67,5.31762240602102,0.0793674985973287,"SG",1.67721789071114
"148","Donovan Mitchell",68,7.98976616440331,0.117496561241225,"SG",3.02270008629292
"151","Caris LeVert",74,3.83330997565447,0.0518014861574928,"SG",0.929834468141098
"161","Gary Trent Jr.",66,4.47776541243072,0.0678449304913745,"SG",1.25433172369043
"168","RJ Barrett",73,4.76640170638692,0.0652931740600948,"SG",1.39966634249548
"171","Evan Fournier",27,0.408789923180651,0.0151403675252093,"SG",-0.794485469572788
"173","Immanuel Quickley",81,5.29492147363354,0.065369400909056,"SG",1.66578748010742
"178","Desmond Bane",58,5.29064498427617,0.0912180169702788,"SG",1.66363417519189
"195","Jalen Williams",75,4.97165529402933,0.0662887372537244,"SG",1.50301596464281
"200","Isaiah Joe",73,2.74830895628728,0.0376480678943463,"SG",0.383512980321738
"204","Anthony Edwards",78,7.52419185283871,0.0964639981133168,"SG",2.78827334747492
"208","Jaylen Nowell",65,2.49969691529446,0.0384568756199148,"SG",0.258331438829527
"210","Bryn Forbes",25,0.174167002376707,0.00696668009506829,"SG",-0.912623186387923
"211","Austin Rivers",52,0.936587671788065,0.0180113013805397,"SG",-0.528727883966936
"216","Terry Rozier",63,5.11749555603617,0.0812300881910503,"SG",1.57644969189406
"222","James Bouknight",34,0.434300966975364,0.0127735578522166,"SG",-0.781640107077293
"223","Bryce McGowens",46,0.740388811168452,0.0160954089384446,"SG",-0.627518255154501
"230","Devin Vassell",38,2.81974595383676,0.074203840890441,"SG",0.419483054164932
"232","Joshua Primo",4,0.0898420070925699,0.0224605017731425,"SG",-0.955082645929132
"235","Josh Richardson",64,2.6284285418886,0.0410691959670094,"SG",0.323150597996156
"237","Romeo Langford",40,1.09441541671797,0.0273603854179493,"SG",-0.449258199708417
"243","Kentavious Caldwell-Pope",76,3.74906585070462,0.0493298138250608,"SG",0.887415728562878
"246","Davon Reed",43,0.148405084427963,0.00345128103320845,"SG",-0.925594869447767
"251","Christian Braun",76,1.42948790508965,0.0188090513827585,"SG",-0.280541952343678
"252","Peyton Watson",23,0.251218637572709,0.010922549459683,"SG",-0.873826021014065
"258","Jordan Clarkson",61,4.59577241922458,0.0753405314626981,"SG",1.31375080475483
"263","Malik Beasley",81,3.43026850494925,0.0423489938882624,"SG",0.726894367626725
"264","Talen Horton-Tucker",65,2.68550290060212,0.0413154292400326,"SG",0.351888772442197
"266","Ochai Agbaji",59,1.54648850808267,0.0262116696285199,"SG",-0.221629617367077
"267","Nickeil Alexander-Walker",58,1.25086323919996,0.0215666075724132,"SG",-0.370483336257771
"277","Josh Green",60,2.17776329881148,0.0362960549801913,"SG",0.0962308977271508
"281","Devin Booker",53,6.13389470791606,0.115733862413511,"SG",2.08822865519606
"286","Damion Lee",74,2.20660854299322,0.0298190343647732,"SG",0.110755102254692
"287","Josh Okogie",72,2.34000134792767,0.0325000187212176,"SG",0.177921265562715
"293","Anfernee Simons",62,4.82546653203038,0.0778301053553287,"SG",1.42940676010554
"297","Shaedon Sharpe",80,2.77382000008199,0.0346727500010249,"SG",0.396358342817233
"302","Kevin Huerter",75,4.81461926773705,0.0641949235698274,"SG",1.42394492784758
"304","Malik Monk",77,4.23649084635653,0.0550193616409938,"SG",1.13284475956988
"305","Terence Davis",64,1.42548463055804,0.0222731973524694,"SG",-0.282557687683291
"309","Grayson Allen",72,3.35594052565826,0.0466102850785869,"SG",0.689468621928765
"323","Norman Powell",60,3.83922843194965,0.0639871405324941,"SG",0.932814538934638
"328","Luke Kennard",58,2.28311933370562,0.0393641264432004,"SG",0.149279940729605
"329","Terance Mann",81,3.24745939037236,0.040092091239165,"SG",0.634846023265873
"333","Andrew Nembhard",75,3.00990371366814,0.0401320495155752,"SG",0.51523160040323
"336","Kevon Harris",34,0.456477810383052,0.0134258179524427,"SG",-0.770473586613845
"339","Rodney McGruder",32,0.688167975286718,0.0215052492277099,"SG",-0.653812575846216
"345","Trevor Keels",3,-0.0067910452670979,-0.0022636817556993,"SG",-1.00373947849916
"354","Zach LaVine",76,7.64679592314239,0.100615735830821,"SG",2.8500071494764
"356","Dalen Terry",37,0.247697677862144,0.006694531834112,"SG",-0.87559890040615
"364","AJ Green",35,0.457810373504276,0.0130802963858364,"SG",-0.769802612251605
"369","Vince Williams Jr.",15,0.00979908633373347,0.000653272422248898,"SG",-0.995385988301915
"371","Theo Pinson",40,0.304440292087343,0.00761100730218356,"SG",-0.847027766487446
"372","Jaden Hardy",48,1.37419491331079,0.0286290606939747,"SG",-0.308383169997306
"375","Aaron Wiggins",70,2.01427355690836,0.0287753365272622,"SG",0.0139102754923345
"376","Lindy Waters III",41,0.763095328723869,0.0186120811883871,"SG",-0.616085032297892
"382","Tyrese Martin",16,0.0075354045780342,0.000470962786127137,"SG",-0.996525801041855
"384","Trent Forrest",23,0.167905631257339,0.00730024483727559,"SG",-0.915775922214584
"386","Wendell Moore Jr.",28,0.0888579439634695,0.00317349799869534,"SG",-0.955578143005357
"389","Landry Shamet",40,1.23706646350256,0.0309266615875641,"SG",-0.377430311321916
"390","Duane Washington Jr.",31,0.577749317565515,0.0186370747601779,"SG",-0.709410758974605
"394","Shake Milton",76,2.6803817481125,0.0352681808962171,"SG",0.349310161364845
"395","Furkan Korkmaz",37,0.359780643192893,0.0097238011673755,"SG",-0.819162702388185
"396","Jaden Springer",16,0.139997090878011,0.00874981817987567,"SG",-0.929828476111533
"402","Keon Johnson",40,0.4578800735027,0.0114470018375675,"SG",-0.769767516794402
"405","Johnny Davis",28,0.390942513624954,0.0139622326294627,"SG",-0.803472026422178
"410","Ty Jerome",45,1.45171210782403,0.0322602690627561,"SG",-0.269351585434597
"415","Dru Smith",15,0.19200882676447,0.0128005884509647,"SG",-0.903639441791426
"417","David Duke Jr.",23,0.197874338565026,0.00860323211152286,"SG",-0.900686029696412
"427","Blake Wesley",34,0.298243035798465,0.0087718539940725,"SG",-0.850148219109796
"430","Garrett Temple",25,0.134608308730561,0.00538433234922242,"SG",-0.932541844511911
"431","Dereon Seabron",5,-0.0137159053631115,-0.00274318107262229,"SG",-1.0072262953805
"432","Seth Curry",61,2.01906296490965,0.0330993928673714,"SG",0.0163218460423496
"436","Malaki Branham",63,2.11942607697516,0.0336416837615105,"SG",0.0668568443760725
"440","Quentin Grimes",71,3.27189433036782,0.0460830187375749,"SG",0.647149544216368
"449","Frank Ntilikina",47,0.29219076467437,0.00621682478030574,"SG",-0.853195668564849
"450","JD Davison",12,0.0465588389085184,0.00387990324237653,"SG",-0.976876657563921
"451","Alec Burks",50,2.60377891672994,0.0520755783345988,"SG",0.310738978421159
"457","A.J. Lawson",15,0.147655139949094,0.00984367599660625,"SG",-0.925972482718321
"460","Keon Ellis",16,0.0650753226087932,0.00406720766304958,"SG",-0.967553207406964
"462","Gary Harris",48,1.59476459909536,0.0332242624811534,"SG",-0.197321561063556
"469","Kendall Brown",6,0.0223803582350286,0.0037300597058381,"SG",-0.989051045697175
"477","Bogdan Bogdanovic",54,3.05804040468398,0.0566303778645182,"SG",0.539469465792344
"480","Trevelin Queen",7,0.0446910164716326,0.00638443092451894,"SG",-0.977817146572214
"481","Victor Oladipo",42,1.6544984988834,0.0393928214019856,"SG",-0.167244250145927
"483","Alondes Williams",1,-0.0172480354095428,-0.0172480354095428,"SG",-1.00900479927837
"490","Gary Payton II",22,0.570551242643736,0.0259341473928971,"SG",-0.713035145431859
"494","Jared Rhoden",14,0.12534448171249,0.00895317726517783,"SG",-0.937206381843282
"498","Danny Green",11,0.169296724041119,0.0153906112764654,"SG",-0.915075476900926
"505","Stanley Umude",1,0.0133200460442979,0.0133200460442979,"SG",-0.99361310890983
"511","Johnny Juzang",18,0.190612148812756,0.0105895638229309,"SG",-0.904342699357976
"514","Sam Merrill",5,0.109755168744559,0.0219510337489118,"SG",-0.945055938205624
"522","Xavier Moon",4,0.00832712321566125,0.00208178080391531,"SG",-0.996127153578561
"525","Kobi Simmons",5,0.0168521760907293,0.00337043521814585,"SG",-0.991834605011959
"526","Lester Quinones",4,0.0125227422387374,0.00313068555968436,"SG",-0.994014568626017
"528","Shaquille Harrison",4,0.222303693392546,0.0555759233481366,"SG",-0.888385320998809
"529","Nate Williams",4,0.17315501340794,0.0432887533519849,"SG",-0.913132744728612
"530","Jay Scrubb",2,0.0530125545193604,0.0265062772596802,"SG",-0.973627072124329
"532","Donovan Williams",2,0.00206575209629253,0.00103287604814627,"SG",-0.999279889405222
"534","Gabe York",3,0.0927050629944229,0.0309016876648076,"SG",-0.953641035338828
"535","Mac McClung",2,0.111151846696273,0.0555759233481366,"SG",-0.944352680639074
"1","Tobias Harris",74,4.9769158465158,0.0672556195475108,"SF",1.34656248834283
"8","Danuel House Jr.",56,0.88138113551143,0.0157389488484184,"SF",-0.590781864370906
"11","Jaylen Brown",67,6.96290443721304,0.103923946824075,"SF",2.28601094922467
"12","Jayson Tatum",74,9.7850952469611,0.132231016850826,"SF",3.62101499957617
"20","Sam Hauser",80,2.04737853494366,0.0255922316867958,"SF",-0.0392205576142209
"28","Juan Toscano-Anderson",52,0.533208871426598,0.0102540167582038,"SF",-0.75548064418686
"30","Matt Ryan",33,0.266342391223401,0.00807098155222428,"SF",-0.881718682643984
"31","Cole Swider",7,0.0153216833100994,0.00218881190144277,"SF",-1.00046106555759
"34","Andrew Wiggins",36,2.55215745499436,0.0708932626387322,"SF",0.199559152273608
"37","Klay Thompson",68,5.32374996231148,0.0782904406222276,"SF",1.51062827290565
"47","Franz Wagner",80,6.05419470198141,0.0756774337747677,"SF",1.85615653508023
"51","Caleb Houstan",51,0.53427380488999,0.0104759569586273,"SF",-0.754976889982122
"54","Chuma Okeke",27,0.573018439226776,0.0212229051565473,"SF",-0.736649198037858
"56","Saddiq Bey",76,4.31847128955067,0.0568219906519825,"SF",1.0350930627306
"63","Kevin Knox II",62,1.24900100193101,0.0201451774505002,"SF",-0.416883625823516
"65","Hamidou Diallo",55,1.96251828034386,0.0356821505517066,"SF",-0.0793626993904909
"66","Deni Avdija",76,3.10893426261243,0.0409070297712161,"SF",0.462935849109445
"76","Buddy Hield",80,5.68857647282763,0.0711072059103454,"SF",1.68320514741477
"79","Chris Duarte",46,1.13357825104531,0.0246430054575066,"SF",-0.471482995718313
"85","Aaron Nesmith",73,2.67398656216422,0.0366299529063591,"SF",0.257188973390128
"92","KJ Martin",82,4.74183295156255,0.0578272311166165,"SF",1.23535929972535
"97","De'Andre Hunter",67,3.55666116462134,0.0530844949943483,"SF",0.674727775285614
"102","Jalen Johnson",70,1.83086506818531,0.0261552152597902,"SF",-0.14163969741145
"105","Justin Holiday",46,0.51742162879926,0.0112482962782448,"SF",-0.762948612964371
"106","Brandon Ingram",45,4.54688019856194,0.101041782190265,"SF",1.14313920107573
"112","Trey Murphy III",79,5.13402157280651,0.064987614845652,"SF",1.42087949774101
"115","Naji Marshall",77,2.87231528971061,0.0373027959702677,"SF",0.351006036949745
"118","Royce O'Neale",76,3.03161499775859,0.0398896710231394,"SF",0.426360883521175
"127","Yuta Watanabe",58,1.3527568440461,0.0233233938628638,"SF",-0.367803149410357
"128","Kessler Edwards",36,0.314693767402447,0.00874149353895687,"SF",-0.858846634866017
"129","DeMar DeRozan",73,7.93469344295559,0.108694430725419,"SF",2.74570426771761
"134","Javonte Green",32,0.80384718549439,0.0251202245466997,"SF",-0.627458384241559
"139","Caleb Martin",71,3.07470023628324,0.0433056371307498,"SF",0.446741847041461
"143","Max Strus",80,3.38458225501265,0.0423072781876582,"SF",0.593327878257331
"146","Duncan Robinson",42,0.687708001137414,0.0163740000270813,"SF",-0.682396654533398
"153","Isaac Okoro",76,2.11397317999722,0.0278154365789108,"SF",-0.00771874683263354
"156","Cedi Osman",77,2.43177529228762,0.0315814973024366,"SF",0.142613791156114
"158","OG Anunoby",67,4.73682885839805,0.0706989381850455,"SF",1.23299217252053
"159","Scottie Barnes",77,5.74991056539472,0.0746741631869444,"SF",1.71221851593644
"175","Cam Reddish",40,1.40968621759484,0.035242155439871,"SF",-0.340873381228479
"181","John Konchar",72,2.02173367632003,0.0280796343933338,"SF",-0.0513515552827633
"188","Luguentz Dort",74,3.7188295137391,0.0502544528883662,"SF",0.751439598654624
"199","Eugene Omoruyi",40,0.886432588002624,0.0221608147000656,"SF",-0.588392334395609
"201","Jaden McDaniels",78,3.87939767007781,0.0497358675651002,"SF",0.827394469717643
"212","Gordon Hayward",50,3.18337371606061,0.0636674743212121,"SF",0.498148553904604
"215","Kelly Oubre Jr.",48,3.48399190777195,0.072583164745249,"SF",0.640352441096703
"217","Jalen McDaniels",78,3.08489518193579,0.039549938229946,"SF",0.451564445744657
