"","player","ROI","salary","gp","PVWL","position","Z_val"
"5","James Harden",0.00442257538059621,3.3e+07,58,3.95569232918675,"PG",-0.142580934585759
"15","Marcus Smart",-0.00120136530003057,17207142,61,1.80404368283457,"PG",-0.302928586726748
"17","Malcolm Brogdon",0.00941006619761509,22600000,67,3.84288831496999,"PG",-0.000379498262182353
"22","Russell Westbrook",-0.0140647027498485,47080179,73,2.24356684541018,"PG",-0.66968315899327
"23","Patrick Beverley",0.000109975302996057,13801614,67,2.12254082393687,"PG",-0.265540143499244
"31","Stephen Curry",-0.00480119482995056,48070014,55,4.13852119727631,"PG",-0.405565553581481
"32","Jordan Poole",0.024508740282305,3901399,81,1.58036456859932,"PG",0.430108139749712
"50","Killian Hayes",-0.0383769449758009,5837760,75,0.285100720308183,"PG",-1.36286453849175
"53","Cory Joseph",-0.00912831382362178,5155500,62,1.76677780699866,"PG",-0.528938720293569
"59","Monte Morris",-0.0125077878257798,9125000,62,2.72328008480638,"PG",-0.625292994367661
"61","Delon Wright",-0.00374480351829465,7804878,50,3.11922320265624,"PG",-0.375446127331187
"68","Tyrese Haliburton",0.027609317776444,4215120,56,3.36740229465924,"PG",0.518510622937172
"71","T.J. McConnell",-0.00110077032642708,8100000,75,3.74165167424384,"PG",-0.30006046119867
"77","Kevin Porter Jr.",-0.00442514415017581,3217631,59,1.69160861398975,"PG",-0.394843739996992
"87","Trae Young",-0.0346056444835418,37096500,73,1.87131733005133,"PG",-1.25533865694484
"89","Aaron Holiday",0.0420352815282994,1968175,63,1.98502827872099,"PG",0.929818200460062
"95","CJ McCollum",-0.0823981219137534,33333333,75,1.22224179534418,"PG",-2.61797954900375
"96","Jose Alvarado",0.164342790759903,1563518,61,1.78848883641068,"PG",4.41700326485059
"99","Devonte' Graham",-0.00123635441064585,11550000,72,2.56065087071477,"PG",-0.303926182906414
"101","Dyson Daniels",0.0369188725631424,5508600,59,2.24045489803487,"PG",0.783941099056389
"105","Kyrie Irving",-0.00931324574982695,38917057,60,3.45256972309178,"PG",-0.5342114288545
"106","Ben Simmons",-0.0134874133623212,35448672,42,2.76207612391472,"PG",-0.653223704110543
"114","Alex Caruso",0.00733512670340164,9030000,66,2.98512607909979,"PG",-0.0595393818964205
"118","Goran Dragic",0.0468156828645641,3523762,57,1.47856980941074,"PG",1.06611518047662
"123","Kyle Lowry",-0.012474153483846,28333334,55,2.58022696157634,"PG",-0.624334024836035
"125","Gabe Vincent",0.0368354079659294,1815677,68,1.31630232349821,"PG",0.781561388287728
"132","Darius Garland",0.00673742623351625,8920794,69,2.07377008177039,"PG",-0.0765807897761009
"137","Raul Neto",0.0364873286389857,2463490,48,1.94894203571307,"PG",0.771637083249002
"142","Fred VanVleet",-0.016536749822523,21250000,69,1.81044328265906,"PG",-0.740165222477835
"150","Jalen Brunson",-0.00926957799317973,27733332,68,3.624466545301,"PG",-0.53296639042855
"158","Ja Morant",0.00677218260135248,12119440,61,3.27297010921226,"PG",-0.0755898294698007
"160","Tyus Jones",0.0101789281850235,1.5e+07,80,3.3696564240178,"PG",0.0215420015370747
"166","Shai Gilgeous-Alexander",-0.0198617939111293,30913750,68,5.03637297231416,"PG",-0.834967611612187
"167","Tre Mann",0.0136069699173336,3046200,67,1.60667325562811,"PG",0.119281020213209
"176","D'Angelo Russell",-0.016248147876883,31377750,70,2.57496091170709,"PG",-0.731936713854672
"178","Jordan McLaughlin",0.0715997204657646,2160000,42,1.56325937345271,"PG",1.77274820980715
"188","Dennis Smith Jr.",0.00151031705679094,2133278,54,1.43669811172121,"PG",-0.225614133399333
"194","Theo Maledon",0.0163516347519197,2408891,44,1.56878126261949,"PG",0.19753585736963
"198","Tre Jones",0.0269328616197646,1782621,65,2.41314090720137,"PG",0.499223762947075
"207","Jamal Murray",-0.0199796323015482,31650600,65,2.08645574804208,"PG",-0.838327374865174
"210","Bones Hyland",0.0405734412611145,2201520,56,1.44207875017823,"PG",0.88813876819725
"212","Ish Smith",0.0171196575210411,4725000,43,1.10905871569781,"PG",0.219433429697102
"219","Mike Conley",-0.0134225039869909,22680000,66,2.51559002551555,"PG",-0.651373032752645
"220","Collin Sexton",-0.0380583329194648,16700000,48,1.96135327770646,"PG",-1.353780393036
"230","Spencer Dinwiddie",0.000887267959650551,19500000,79,2.55637120061155,"PG",-0.243378271673261
"231","Luka Doncic",0.00318454467490259,37096500,66,6.15931638828153,"PG",-0.177879193975348
"238","Chris Paul",-0.000525287168975819,28400000,59,2.94243158491786,"PG",-0.283652504859111
"241","Cameron Payne",0.0222687309557328,6e+06,48,1.09620381203439,"PG",0.366241848000394
"249","Damian Lillard",-0.0215681904136702,42492492,58,4.40085384236319,"PG",-0.883619738002243
"256","De'Aaron Fox",-0.0239861699690229,30351780,73,3.19305992671563,"PG",-0.952560249050185
"259","Davion Mitchell",0.00606200418060476,4833600,80,2.34852442180045,"PG",-0.0958381657938961
"265","Jevon Carter",0.0430245705574965,6025000,81,2.50770023587744,"PG",0.958024432020618
"266","Jrue Holiday",-0.00943035370152345,34319520,67,2.65668461693222,"PG",-0.537550366117167
"268","George Hill",0.0723150072746526,4e+06,46,2.02305196676762,"PG",1.79314219454595
"276","Reggie Jackson",-0.0122940436727825,11457217,68,0.814089846220485,"PG",-0.619198802583234
"283","Cole Anthony",0.00695867643102499,3613680,60,2.49329138986224,"PG",-0.0702725885128005
"285","Miles McBride",0.0648519157812519,1563518,64,1.83713097215256,"PG",1.58035737574398
"289","Payton Pritchard",0.076042519446907,2239200,48,1.61983866118609,"PG",1.89941960021043
"291","Malachi Flynn",0.0140388039752513,2145720,53,1.54551670382698,"PG",0.131593308203755
"296","Daishen Nix",0.0282928049377014,1563518,57,1.26843278509475,"PG",0.537997948248704
"312","Jordan Goodwin",0.0478554565386866,1280206,62,2.73654504950313,"PG",1.09576081098227
"328","Dennis Schroder",0.0265067263270593,2641682,66,1.21843891518195,"PG",0.487073955977189
"332","Markelle Fultz",-0.0227838704857291,16500000,60,2.1320587784842,"PG",-0.918280744648478
"4","Tyrese Maxey",0.0624166586083745,2726880,60,2.41354546640461,"SG",0.470234940349489
"7","De'Anthony Melton",0.0415647539876167,8250000,77,2.84586903302434,"SG",0.159609095236996
"10","Matisse Thybulle",0.0669028266959588,4379526,71,2.85861714115283,"SG",0.537064315357052
"14","Derrick White",0.0223423851127966,17142857,82,3.89695729674407,"SG",-0.126741944891063
"19","Lonnie Walker IV",-0.00161023766088475,6479000,56,1.0680168290566,"SG",-0.483558448086114
"24","Austin Reaves",0.33242459374717,1563518,64,3.20725750635258,"SG",4.49247869049952
"25","Kendrick Nunn",-0.000361900674062499,5250000,70,1.51315069449543,"SG",-0.46496227001177
"36","Donte DiVincenzo",0.0663018358703074,4500000,71,3.40182446104134,"SG",0.528111498503239
"37","Moses Moody",0.0761965440652781,3740160,62,2.41366077649888,"SG",0.675510604297374
"41","Terrence Ross",-0.00907722589128068,11500000,63,1.37905973461935,"SG",-0.594792389143124
"42","Jalen Suggs",-0.0118176232611307,6922320,53,1.67955214673595,"SG",-0.635615434540441
"46","R.J. Hampton",0.00074139115335381,2898243,47,1.5601645273481,"SG",-0.448526795050134
"58","Bradley Beal",-0.0503868372770314,43279250,50,1.88227737728264,"SG",-1.21017180801854
"63","Will Barton",-0.027272781648039,15059712,56,1.48021265926302,"SG",-0.865847239384864
"70","Bennedict Mathurin",-0.0137512447420438,6586800,78,2.45000032110453,"SG",-0.66442013212372
"74","Eric Gordon",-0.00913759787136403,19568360,69,1.91957137635886,"SG",-0.595691736117685
"76","Jalen Green",-0.0269503235493619,9441840,76,1.08919533475956,"SG",-0.861043658070031
"81","Garrison Mathews",0.0291299706104911,2e+06,54,2.05452609386297,"SG",-0.0256289041477362
"82","Josh Christopher",0.00754280523258655,2372160,64,1.61870269670722,"SG",-0.34720775322896
"86","Dejounte Murray",-0.00485971685404585,17071120,74,2.58482382371333,"SG",-0.531965163871027
"108","Edmond Sumner",0.165142104099901,1968175,53,2.00314224781686,"SG",2.00051137795594
"109","Cam Thomas",0.0931536358233613,2138160,57,1.92864304130552,"SG",0.928116352012196
"115","Ayo Dosunmu",0.131076460852347,1563518,79,1.8648034981943,"SG",1.49304362306614
"116","Coby White",-0.000560733455494455,7413955,73,2.23675602358148,"SG",-0.467924234488957
"122","Tyler Herro",-0.00206407925575203,5722116,67,2.03578162495661,"SG",-0.490319217978209
"128","Donovan Mitchell",-0.0095162534848654,30913750,68,3.59417914284655,"SG",-0.601332478394693
"131","Caris LeVert",-0.0150201827173662,18796296,74,2.19602657896674,"SG",-0.683323198205629
"141","Gary Trent Jr.",-0.0198845763557204,17280000,66,2.10429219603971,"SG",-0.75578690894836
"147","RJ Barrett",-0.0213102562362499,10900634,73,1.09995608986185,"SG",-0.777024921772786
"151","Immanuel Quickley",0.0660571548018887,2316240,81,3.63472433338713,"SG",0.524466543040278
"154","Desmond Bane",0.0570209092020724,2130240,58,2.85611129504537,"SG",0.389855749583417
"169","Jalen Williams",0.0186908654293778,4341480,75,3.4454838267612,"SG",-0.181137761879298
"172","Isaiah Joe",0.048307583261016,1836090,73,3.32412019125253,"SG",0.260055413191753
"175","Anthony Edwards",-0.00363875423222693,10733400,78,2.9789221438649,"SG",-0.513776775176993
"179","Jaylen Nowell",0.00296354466628301,1930681,65,1.61871638648015,"SG",-0.415423904667824
"181","Austin Rivers",0.00221904432898712,2905851,52,1.42826241691332,"SG",-0.42651454845625
"186","Terry Rozier",-0.0539295194433036,21486316,63,0.69414276161283,"SG",-1.26294629849687
"191","Bryce McGowens",0.0235167933631666,1461055,46,1.33213518986816,"SG",-0.109247065554472
"201","Josh Richardson",-0.013152154826317,12196094,64,2.11713494124266,"SG",-0.655495632671245
"206","Kentavious Caldwell-Pope",0.0125303511445076,14004703,76,2.84041858996908,"SG",-0.272909472467328
"209","Davon Reed",0.105387077814707,1902133,43,1.59750850139533,"SG",1.11035501683966
"213","Christian Braun",0.109307794324679,2808600,76,2.98396126160475,"SG",1.16876099468708
"223","Malik Beasley",-0.00680088068587736,15558035,81,1.92036437451492,"SG",-0.560882218055334
"224","Talen Horton-Tucker",-0.0229284148093037,10260000,65,1.83923771652975,"SG",-0.801130243728867
"226","Nickeil Alexander-Walker",0.00681722662361572,5009633,58,2.03695654153724,"SG",-0.358016524547756
"234","Josh Green",0.149508950760912,3098400,60,2.2376838059339,"SG",1.76762802480351
"237","Devin Booker",-0.0232640165603494,33833400,53,2.25611398521551,"SG",-0.80612962289522
"242","Damion Lee",0.183005038788957,2133278,74,2.79831671616982,"SG",2.26661125155951
"243","Josh Okogie",0.218935669810487,1968175,72,3.34423275663191,"SG",2.80186128408542
"251","Shaedon Sharpe",-0.00771154447259692,6012960,80,1.91189603508919,"SG",-0.574448159081245
"255","Kevin Huerter",-0.0131455694031085,14508929,75,2.13091652089266,"SG",-0.655397531193861
"257","Malik Monk",-0.00128066200850019,9472219,77,2.27753501294751,"SG",-0.478648838272891
"258","Terence Davis",0.0532693544240004,4e+06,64,2.04046734260351,"SG",0.333969733671741
"262","Grayson Allen",0.0302828098660453,8925000,72,2.73660300682728,"SG",-0.00845533297770051
"275","Norman Powell",0.00245760692968622,16758621,60,2.52389436893269,"SG",-0.422960738346232
"279","Luke Kennard",-0.000153778846387564,13745455,58,2.61128262410532,"SG",-0.461861928830297
"280","Terance Mann",0.157958254845129,1930681,81,3.52957101457316,"SG",1.89349529062438
"282","Andrew Nembhard",0.0196452614383584,2244111,75,1.2265967710881,"SG",-0.166920352378659
"293","Zach LaVine",-0.0283225840485662,37096500,76,3.02383108556752,"SG",-0.881485895123787
"299","Jaden Hardy",0.0563716075719392,1017781,48,1.5512395020838,"SG",0.380183258208588
"300","Aaron Wiggins",0.0393330959706919,1563518,70,2.45585886618943,"SG",0.126364618527695
"308","Shake Milton",0.082706964295056,1997718,76,2.54169813518586,"SG",0.772494780212847
"313","Ty Jerome",0.0355118935688381,4728948,45,1.68782136424567,"SG",0.0694410785916781
"315","Seth Curry",0.0103761058583038,8496653,61,1.85398008110319,"SG",-0.305000750207996
"317","Malaki Branham",-0.00562060551673083,2925600,63,1.02214934468163,"SG",-0.543299940630352
"318","Quentin Grimes",0.0529177523733542,2277000,71,1.82389411658026,"SG",0.328732001862027
"321","Frank Ntilikina",0.0421192191481501,2036318,47,1.30773516548235,"SG",0.167868830364724
"322","Alec Burks",-0.0192542052573386,10012800,50,2.30075296099325,"SG",-0.746396421185702
"327","Gary Harris",-0.0313213210767014,1.3e+07,48,1.34116110232768,"SG",-0.92615736473656
"333","Bogdan Bogdanovic",-0.0268041601492246,1.8e+07,54,1.25469922397099,"SG",-0.858866296792109
"335","Victor Oladipo",-0.0108653812279832,8750000,42,0.816351359063095,"SG",-0.621430112303564
"1","Tobias Harris",0.000563584237118997,37633050,74,4.3831300815783,"SF",-0.475531391650991
"8","Danuel House Jr.",0.0474402953164901,4105000,56,1.94452563259094,"SF",0.156752409783479
"11","Jaylen Brown",0.00169779698976313,29776785,67,3.44465507280816,"SF",-0.460232870607929
"12","Jayson Tatum",0.0267191367283615,30351780,74,6.70727818626399,"SF",-0.122739316930132
"18","Sam Hauser",0.306438157580994,1637966,80,3.54518439369794,"SF",3.65017481816714
"26","Juan Toscano-Anderson",0.166306967374799,2133278,52,1.84324233777535,"SF",1.76005327160453
"30","Klay Thompson",-0.0213289304904191,40600080,68,1.63192787192221,"SF",-0.770822637904388
"39","Franz Wagner",0.00159057167166599,5258280,80,2.76281301441128,"SF",-0.461679150224724
"43","Caleb Houstan",0.0131851282174107,2e+06,51,1.45844125054376,"SF",-0.305289119442114
"47","Saddiq Bey",0.0255674695931498,2959080,76,3.52725172068329,"SF",-0.138273266677712
"52","Kevin Knox II",0.0129697924171206,3e+06,62,2.5381803092092,"SF",-0.308193617971497
"54","Hamidou Diallo",0.000578362404530353,5200000,55,2.85596265791892,"SF",-0.475332060348646
"55","Deni Avdija",0.00383770801900041,4916160,76,3.44139296259467,"SF",-0.431369261170681
"65","Buddy Hield",-0.0194347084743453,21177750,80,3.29826442828646,"SF",-0.745272938074634
"67","Chris Duarte",-0.0103475534534472,3936960,46,0.991161434307611,"SF",-0.622703312592392
"73","Aaron Nesmith",0.00782476322021353,3804360,73,2.16367457011671,"SF",-0.377590948633275
"78","KJ Martin",0.0542417837336733,1782621,82,5.11947848057373,"SF",0.248492441300357
"83","De'Andre Hunter",-0.00423768278986125,9835881,67,1.88541989745255,"SF",-0.540291979533979
"88","Jalen Johnson",0.0596651901249672,2792640,70,3.77110057374746,"SF",0.321644587234937
"91","Justin Holiday",-0.00126694405662475,5987975,46,0.895317793280317,"SF",-0.500221975984903
"92","Brandon Ingram",-0.0111071998832387,31650600,45,1.99170518756797,"SF",-0.632949597395979
"97","Trey Murphy III",0.113454172734688,3206520,79,3.53582066244615,"SF",1.04716268815677
"100","Naji Marshall",0.14536487374611,1782621,77,2.86149037456665,"SF",1.47758152252802
"103","Royce O'Neale",0.0198404802168435,9200000,76,2.71533225700525,"SF",-0.215520209354527
"110","Yuta Watanabe",0.136557908242612,1968175,58,2.3124941425339,"SF",1.35879115734593
"111","DeMar DeRozan",-0.0235735708430327,27300000,73,3.83608934997,"SF",-0.801098860410713
"120","Caleb Martin",0.0136843282349315,6479000,71,2.73458853155525,"SF",-0.29855579542073
"124","Max Strus",0.042510430918264,1815677,80,1.68093617134549,"SF",0.0902572711422661
"126","Duncan Robinson",-0.0169139866124521,16902000,42,0.9862641711367,"SF",-0.71127286502134
"133","Isaac Okoro",0.0069937588587945,7040880,76,2.71592058689103,"SF",-0.388799725540789
"136","Cedi Osman",0.0101869881194234,7426088,77,3.10116625557891,"SF",-0.34572871886663
"138","OG Anunoby",-0.00887221448250219,17357143,67,3.20424556742971,"SF",-0.602803603089009
"139","Scottie Barnes",0.00795056275336736,7644600,77,3.26551263117721,"SF",-0.375894135755202
